Datum,Team,Mitarbeiter,Personalnummer,Schichttyp,Schichtname
2026-03-15,Team 2,Julia Becker,PN006,F,Frühschicht
2026-03-15,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-03-15,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-03-15,Team 3,Markus Richter,PN011,N,Nachtschicht
2026-03-15,Team 3,Andreas Wolf,PN013,N,Nachtschicht
2026-03-16,Team 1,Max Müller,PN001,S,Spätschicht
2026-03-16,Team 1,Anna Schmidt,PN002,S,Spätschicht
2026-03-16,Team 1,Peter Weber,PN003,S,Spätschicht
2026-03-16,Team 2,Julia Becker,PN006,F,Frühschicht
2026-03-16,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-03-16,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-03-16,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-03-16,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-03-16,Team 3,Markus Richter,PN011,N,Nachtschicht
2026-03-16,Team 3,Andreas Wolf,PN013,N,Nachtschicht
2026-03-17,Team 1,Max Müller,PN001,S,Spätschicht
2026-03-17,Team 1,Anna Schmidt,PN002,S,Spätschicht
2026-03-17,Team 1,Peter Weber,PN003,S,Spätschicht
2026-03-17,Team 2,Julia Becker,PN006,F,Frühschicht
2026-03-17,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-03-17,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-03-17,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-03-17,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-03-17,Team 3,Maria Lange,PN015,N,Nachtschicht
2026-03-17,Team 3,Andreas Wolf,PN013,N,Nachtschicht
2026-03-18,Team 1,Max Müller,PN001,S,Spätschicht
2026-03-18,Team 1,Anna Schmidt,PN002,S,Spätschicht
2026-03-18,Team 1,Peter Weber,PN003,S,Spätschicht
2026-03-18,Team 2,Julia Becker,PN006,F,Frühschicht
2026-03-18,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-03-18,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-03-18,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-03-18,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-03-18,Team 3,Maria Lange,PN015,N,Nachtschicht
2026-03-18,Team 3,Markus Richter,PN011,N,Nachtschicht
2026-03-19,Team 1,Max Müller,PN001,S,Spätschicht
2026-03-19,Team 1,Anna Schmidt,PN002,S,Spätschicht
2026-03-19,Team 1,Peter Weber,PN003,S,Spätschicht
2026-03-19,Team 2,Julia Becker,PN006,F,Frühschicht
2026-03-19,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-03-19,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-03-19,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-03-19,Team 3,Maria Lange,PN015,N,Nachtschicht
2026-03-19,Team 3,Markus Richter,PN011,N,Nachtschicht
2026-03-19,Team 3,Andreas Wolf,PN013,N,Nachtschicht
2026-03-20,Team 1,Max Müller,PN001,S,Spätschicht
2026-03-20,Team 1,Anna Schmidt,PN002,S,Spätschicht
2026-03-20,Team 1,Peter Weber,PN003,S,Spätschicht
2026-03-20,Team 2,Julia Becker,PN006,F,Frühschicht
2026-03-20,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-03-20,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-03-20,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-03-20,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-03-20,Team 3,Markus Richter,PN011,N,Nachtschicht
2026-03-20,Team 3,Andreas Wolf,PN013,N,Nachtschicht
2026-03-21,Team 1,Max Müller,PN001,S,Spätschicht
2026-03-21,Team 1,Peter Weber,PN003,S,Spätschicht
2026-03-21,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-03-21,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-03-21,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-03-21,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-03-21,Team 3,Maria Lange,PN015,N,Nachtschicht
2026-03-22,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-03-22,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-03-22,Team 2,Sarah Hoffmann,PN008,F,Frühschicht
2026-03-22,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-03-22,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-03-22,Team 3,Maria Lange,PN015,F,Frühschicht
2026-03-22,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-22,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-03-23,Team 1,Robert Franke,PN005,F,Frühschicht
2026-03-23,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-03-23,Team 1,Max Müller,PN001,F,Frühschicht
2026-03-23,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-03-23,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-03-23,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-03-23,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-03-23,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-23,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-03-23,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-03-24,Team 1,Robert Franke,PN005,F,Frühschicht
2026-03-24,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-03-24,Team 1,Max Müller,PN001,F,Frühschicht
2026-03-24,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-03-24,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-03-24,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-03-24,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-03-24,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-24,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-03-24,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-03-25,Team 1,Robert Franke,PN005,F,Frühschicht
2026-03-25,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-03-25,Team 1,Max Müller,PN001,F,Frühschicht
2026-03-25,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-03-25,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-03-25,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-03-25,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-03-25,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-25,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-03-25,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-03-26,Team 1,Robert Franke,PN005,F,Frühschicht
2026-03-26,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-03-26,Team 1,Max Müller,PN001,F,Frühschicht
2026-03-26,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-03-26,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-03-26,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-03-26,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-03-26,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-26,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-03-26,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-03-27,Team 1,Robert Franke,PN005,F,Frühschicht
2026-03-27,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-03-27,Team 1,Max Müller,PN001,F,Frühschicht
2026-03-27,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-03-27,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-03-27,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-03-27,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-03-27,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-27,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-03-27,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-03-28,Team 1,Robert Franke,PN005,F,Frühschicht
2026-03-28,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-03-28,Team 1,Max Müller,PN001,F,Frühschicht
2026-03-28,Team 1,Peter Weber,PN003,S,Spätschicht
2026-03-28,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-03-28,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-03-28,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-03-29,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-03-29,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-03-29,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-03-29,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-03-29,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-03-29,Team 3,Markus Richter,PN011,F,Frühschicht
2026-03-29,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-03-30,Team 1,Max Müller,PN001,N,Nachtschicht
2026-03-30,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-03-30,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-03-30,Team 2,Julia Becker,PN006,S,Spätschicht
2026-03-30,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-03-30,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-03-30,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-03-30,Team 3,Maria Lange,PN015,F,Frühschicht
2026-03-30,Team 3,Markus Richter,PN011,F,Frühschicht
2026-03-30,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-03-31,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-03-31,Team 1,Max Müller,PN001,N,Nachtschicht
2026-03-31,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-03-31,Team 2,Julia Becker,PN006,S,Spätschicht
2026-03-31,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-03-31,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-03-31,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-03-31,Team 3,Maria Lange,PN015,F,Frühschicht
2026-03-31,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-03-31,Team 3,Andreas Wolf,PN013,F,Frühschicht
