Datum,Team,Mitarbeiter,Personalnummer,Schichttyp,Schichtname
2026-01-25,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-25,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-25,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-25,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-25,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-25,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-26,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-26,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-26,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-26,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-26,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-26,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-26,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-26,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-26,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-26,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-26,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-26,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-26,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-26,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-26,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-27,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-27,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-27,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-27,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-27,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-27,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-27,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-27,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-27,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-27,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-27,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-27,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-27,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-28,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-28,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-28,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-28,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-28,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-28,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-28,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-28,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-28,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-28,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-28,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-28,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-28,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-29,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-29,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-29,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-29,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-29,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-29,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-29,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-29,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-29,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-29,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-29,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-29,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-29,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-29,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-30,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-30,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-30,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-30,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-30,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-30,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-30,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-30,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-30,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-30,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-30,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-30,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-30,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-30,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-30,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-31,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-31,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-31,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-31,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-31,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-31,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-31,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-31,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-31,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-31,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-31,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-31,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-31,Team 3,Andreas Wolf,PN013,F,Frühschicht
